5.46, 43.0, 3260, 1.48
6.25, 45.0, 3380, 1.47
7.05, 47.0, 3500, 1.47
8.02, 49.0, 3780, 1.58
9.09, 50.0, 3940, 1.65
11.0, 50.0, 5500, 2.1
